"id","legisNames","party","state","cd","y","x"
"FL-23","Wasserman Schultz (D FL-23)","D","FL","23",-0.983063334752641,61.5
"FL-24","Wilson (D FL-24)","D","FL","24",-1.39352984203102,87.55
"FL-25","Diaz-Balart (R FL-25)","R","FL","25",0.517037761817869,48.7
"FL-26","Garcia (D FL-26)","D","FL","26",-0.497540166374777,53.1
"FL-27","Ros-Lehtinen (R FL-27)","R","FL","27",0.515554947385708,53.05
"FL-3","Yoho (R FL-3)","R","FL","3",1.03771286383875,37.4
"FL-4","Crenshaw (R FL-4)","R","FL","4",0.627266542270258,35.4
"FL-5","Brown (D FL-5)","D","FL","5",-1.0391997157231,71.15
"FL-6","DeSantis (R FL-6)","R","FL","6",1.19755029904471,41.4
"FL-7","Mica (R FL-7)","R","FL","7",0.92227363274018,47.15
"FL-8","Posey (R FL-8)","R","FL","8",0.70778035470346,42.2
"FL-9","Grayson (D FL-9)","D","FL","9",-0.985719337826609,61.9
"GA-1","Kingston (R GA-1)","R","GA","1",1.24833990517019,43
"GA-10","Broun (R GA-10)","R","GA","10",0.705289539328368,36.3
"GA-11","Gingrey (R GA-11)","R","GA","11",1.00003301264649,31.5
"GA-12","Barrow (D GA-12)","D","GA","12",-0.153500775906645,43.6
"GA-13","Scott (D GA-13)","D","GA","13",-0.806804887141489,69.2
"GA-14","Graves (R GA-14)","R","GA","14",1.27429945896716,25.3
"GA-2","Bishop Jr. (D GA-2)","D","GA","2",-0.446251594075651,58.6
"GA-3","Westmoreland (R GA-3)","R","GA","3",1.10567380043487,33
"GA-4","Johnson (D GA-4)","D","GA","4",-1.1764368611019,73.6
"GA-5","Lewis (D GA-5)","D","GA","5",-1.5221862356143,83.1
"GA-6","Price (R GA-6)","R","GA","6",1.19275671311377,37.5
"GA-7","Woodall (R GA-7)","R","GA","7",1.05460177761859,38.3
"GA-8","Scott (R GA-8)","R","GA","8",1.08974593261074,37.5
"GA-9","Collins (R GA-9)","R","GA","9",1.2064156488234,20.5
"HI-1","Hanabusa (D HI-1)","D","HI","1",-1.00786888161318,69.7
"HI-2","Gabbard (D HI-2)","D","HI","2",-0.694858207655661,71.4
"IA-1","Braley (D IA-1)","D","IA","1",-0.699816555246109,56.2
"IA-2","Loebsack (D IA-2)","D","IA","2",-0.650289138198294,55.8
"IA-3","Latham (R IA-3)","R","IA","3",0.575988914618215,51.4
"IA-4","King (R IA-4)","R","IA","4",0.96465461738046,45.3
"ID-1","Labrador (R ID-1)","R","ID","1",0.958922248173043,32.2
"ID-2","Simpson (R ID-2)","R","ID","2",0.641674329859075,33.1
"IL-1","Rush (D IL-1)","D","IL","1",-1.14277105318916,79
"IL-10","Schneider (D IL-10)","D","IL","10",-0.552379447164864,57.5
"IL-11","Foster (D IL-11)","D","IL","11",-0.628427295420342,57.8
"IL-12","Enyart (D IL-12)","D","IL","12",-0.55587039637887,49.7
"IL-13","Davis (R IL-13)","R","IL","13",0.592230517335973,48.6
"IL-14","Hultgren (R IL-14)","R","IL","14",0.992733162407558,44.2
"IL-15","Shimkus (R IL-15)","R","IL","15",0.582850906877034,34.1
"IL-16","Kinzinger (R IL-16)","R","IL","16",0.622007686168495,45.2
"IL-17","Bustos (D IL-17)","D","IL","17",-0.536631731761255,57.6
"IL-18","Schock (R IL-18)","R","IL","18",0.635123947333506,37.4
"IL-2","Kelly (D IL-2)","D","IL","2",-1.24547500244916,80.7
"IL-3","Lipinski (D IL-3)","D","IL","3",-0.468941086597019,55.9
"IL-4","Gutierrez (D IL-4)","D","IL","4",-1.25837046677688,80.9
"IL-5","Quigley (D IL-5)","D","IL","5",-1.04480747195223,66
"IL-6","Roskam (R IL-6)","R","IL","6",0.79718026947348,45.1
"IL-7","Davis (D IL-7)","D","IL","7",-1.25637300518885,87.2
"IL-8","Duckworth (D IL-8)","D","IL","8",-0.672958370329202,57.4
"IL-9","Schakowsky (D IL-9)","D","IL","9",-2.34804889930455,65
"IN-1","Visclosky (D IN-1)","D","IN","1",-0.859334790633492,61.2
"IN-2","Walorski (R IN-2)","R","IN","2",0.810527153184874,42.1
"IN-3","Stutzman (R IN-3)","R","IN","3",1.30495154963606,35.7
"IN-4","Rokita (R IN-4)","R","IN","4",1.11343537763342,36.9
"IN-5","Brooks (R IN-5)","R","IN","5",0.823596670591836,40.7
"IN-6","Messer (R IN-6)","R","IN","6",1.05556427802285,37.3
"IN-7","Carson (D IN-7)","D","IN","7",-0.968596083911641,62.9
"IN-8","Bucshon (R IN-8)","R","IN","8",0.854372114892551,39.6
"IN-9","Young (R IN-9)","R","IN","9",0.838661049356271,40.7
"KS-1","Huelskamp (R KS-1)","R","KS","1",0.945119572258885,27.6
"KS-2","Jenkins (R KS-2)","R","KS","2",0.930742797424082,42
"KS-3","Yoder (R KS-3)","R","KS","3",0.983487782644764,44.3
"KS-4","Pompeo (R KS-4)","R","KS","4",1.33243509827024,36.1
"KY-1","Whitfield (R KY-1)","R","KY","1",0.68181993412924,32.1
"KY-2","Guthrie (R KY-2)","R","KY","2",0.837225578892028,35.1
"KY-3","Yarmuth (D KY-3)","D","KY","3",-1.15209920074948,55.7
"KY-4","Massie (R KY-4)","R","KY","4",0.72816357340475,34.8
"KY-5","Rogers (R KY-5)","R","KY","5",0.636476434098067,23.2
"KY-6","Barr (R KY-6)","R","KY","6",0.862841745670048,42.2
"LA-1","Scalise (R LA-1)","R","LA","1",1.21281418889325,26.9
"LA-2","Richmond (D LA-2)","D","LA","2",-0.822352656375343,75.8
"LA-3","Boustany Jr. (R LA-3)","R","LA","3",0.821746965374863,32.3
"LA-4","Fleming (R LA-4)","R","LA","4",1.24033963342296,39.7
"LA-5","Alexander (R LA-5)","R","LA","5",0.616490219661181,37.7
"LA-5","McAllister (R LA-5)","R","LA","5",0.780860172618492,37.7
"LA-6","Cassidy (R LA-6)","R","LA","6",0.786118474837276,32
"MA-1","Neal (D MA-1)","D","MA","1",-1.33451900054305,64
"MA-2","McGovern (D MA-2)","D","MA","2",-2.01250241188698,58.7
"MA-3","Tsongas (D MA-3)","D","MA","3",-1.17083235630198,56.9
"MA-4","Kennedy III (D MA-4)","D","MA","4",-1.310601222269,57.1
"MA-5","Clark (D MA-5)","D","MA","5",-1.60718091630537,65.2
"MA-6","Tierney (D MA-6)","D","MA","6",-1.02655510931246,54.7
"MA-7","Capuano (D MA-7)","D","MA","7",-1.23659649016314,82.5
"MA-8","Lynch (D MA-8)","D","MA","8",-0.824012842474643,57.8
"MA-9","Keating (D MA-9)","D","MA","9",-0.913490156958963,55.5
"MD-1","Harris (R MD-1)","R","MD","1",1.05843684522222,37.8
"MD-2","Ruppersberger (D MD-2)","D","MD","2",-0.777990573068034,62.9
"MD-3","Sarbanes (D MD-3)","D","MD","3",-1.46034330796178,60.6
"MD-4","Edwards (D MD-4)","D","MD","4",-1.83370800668704,78.3
"MD-5","Hoyer (D MD-5)","D","MD","5",-0.988228648123166,66.2
"MD-6","Delaney (D MD-6)","D","MD","6",-0.733987568383912,55.4
"MD-7","Cummings (D MD-7)","D","MD","7",-1.39536233045931,76
"MD-8","Van Hollen (D MD-8)","D","MD","8",-1.24772941837149,62
"ME-1","Pingree (D ME-1)","D","ME","1",-1.36759604246097,59.8
"ME-2","Michaud (D ME-2)","D","ME","2",-0.800499530439486,52.95
"MI-1","Benishek (R MI-1)","R","MI","1",0.727213027075214,45.3
"MI-10","Miller (R MI-10)","R","MI","10",0.906004518822284,43.7
"MI-11","Bentivolio (R MI-11)","R","MI","11",1.07363497333537,46.9
"MI-12","Dingell (D MI-12)","D","MI","12",-1.00314116499259,66.2
"MI-13","Conyers Jr. (D MI-13)","D","MI","13",-1.53137259803303,85.2
"MI-14","Peters (D MI-14)","D","MI","14",-0.610888239994747,81
"MI-2","Huizenga (R MI-2)","R","MI","2",1.24476792562927,43.1
"MI-3","Amash (R MI-3)","R","MI","3",0.661328167236796,45.8
"MI-4","Camp (R MI-4)","R","MI","4",0.789178112595893,45.5
"MI-5","Kildee (D MI-5)","D","MI","5",-1.16471871234869,60.7
"MI-6","Upton (R MI-6)","R","MI","6",0.693075330938894,48.8
"MI-7","Walberg (R MI-7)","R","MI","7",1.07644046069969,47.9
"MI-8","Rogers (R MI-8)","R","MI","8",0.78222113526261,48
"MI-9","Levin (D MI-9)","D","MI","9",-1.15633596526705,57.2
"MN-1","Walz (D MN-1)","D","MN","1",-0.635399939624479,49.6
"MN-2","Kline (R MN-2)","R","MN","2",0.875896149140802,49.1
"MN-3","Paulsen (R MN-3)","R","MN","3",0.801282254394291,49.6
"MN-4","McCollum (D MN-4)","D","MN","4",-0.975902125551309,62.5
"MN-5","Ellison (D MN-5)","D","MN","5",-1.49090767383772,73.5
"MN-6","Bachmann (R MN-6)","R","MN","6",0.962733320856985,41.5
"MN-7","Peterson (D MN-7)","D","MN","7",-0.144879390019259,44.1
"MN-8","Nolan (D MN-8)","D","MN","8",-0.836875379549899,51.7
"MO-1","Clay (D MO-1)","D","MO","1",-1.10646980359321,79.9
"MO-2","Wagner (R MO-2)","R","MO","2",0.914083590687774,41.4
"MO-3","Luetkemeyer (R MO-3)","R","MO","3",0.854513276414079,36.1
"MO-4","Hartzler (R MO-4)","R","MO","4",0.917964632243875,36.4
"MO-5","Cleaver II (D MO-5)","D","MO","5",-1.08740299529966,58.9
"MO-6","Graves (R MO-6)","R","MO","6",0.871945133814265,37.9
"MO-7","Long (R MO-7)","R","MO","7",1.10293033771369,30.3
"MO-8","Smith (R MO-8)","R","MO","8",1.22484914887777,32
"MO-8","Emerson (R MO-8)","R","MO","8",0.62644056102752,32
"MS-1","Nunnelee (R MS-1)","R","MS","1",0.966171605131011,37
"MS-2","Thompson (D MS-2)","D","MS","2",-0.979023060199022,66.4
"MS-3","Harper (R MS-3)","R","MS","3",0.701238752568499,39.1
"MS-4","Palazzo (R MS-4)","R","MS","4",1.1451735121161,31.2
"MT-1","Daines (R MT-1)","R","MT","1",0.859522465253163,41.7
"NC-1","Butterfield (D NC-1)","D","NC","1",-0.956554568789253,71.2
"NC-10","McHenry (R NC-10)","R","NC","10",1.1035174255548,40.85
"NC-11","Meadows (R NC-11)","R","NC","11",1.09589425308921,37.8
"NC-12","Watt (D NC-12)","D","NC","12",-1.23668542517395,78.7
"NC-13","Holding (R NC-13)","R","NC","13",1.30292604491065,44.05
"NC-2","Ellmers (R NC-2)","R","NC","2",0.75233386083722,41.95
"NC-3","Jones (R NC-3)","R","NC","3",0.227920975165637,41.3
"NC-4","Price (D NC-4)","D","NC","4",-1.12329289923472,71.2
"NC-5","Foxx (R NC-5)","R","NC","5",1.14845472283098,39.8
"NC-6","Coble (R NC-6)","R","NC","6",0.940604182356515,41.25
"NC-7","McIntyre (D NC-7)","D","NC","7",-0.121182619324362,39.9
"NC-8","Hudson (R NC-8)","R","NC","8",1.34316574692202,40.95
"NC-9","Pittenger (R NC-9)","R","NC","9",1.13505660423705,43.05
"ND-1","Cramer (R ND-1)","R","ND","1",0.705733579675545,38.9
"NE-1","Fortenberry (R NE-1)","R","NE","1",0.547018734261397,40.9
"NE-2","Terry (R NE-2)","R","NE","2",0.685811508530408,45.85
"NE-3","Smith (R NE-3)","R","NE","3",0.987823019914093,27.9
"NH-1","Shea-Porter (D NH-1)","D","NH","1",-0.872839996932722,50.2
"NH-2","Kuster (D NH-2)","D","NH","2",-0.745758838113474,54.2
"NJ-1","Andrews (D NJ-1)","D","NJ","1",-0.972074543202615,65.1
"NJ-10","Payne Jr. (D NJ-10)","D","NJ","10",-1.40735924047614,87.9
"NJ-11","Frelinghuysen (R NJ-11)","R","NJ","11",0.539467438834184,46.6
"NJ-12","Holt (D NJ-12)","D","NJ","12",-1.69346263812916,66.5
"NJ-2","LoBiondo (R NJ-2)","R","NJ","2",0.367391582789557,53.5
"NJ-3","Runyan (R NJ-3)","R","NJ","3",0.435401049624289,51.8
"NJ-4","Smith (R NJ-4)","R","NJ","4",0.441548989318725,44.7
"NJ-5","Garrett (R NJ-5)","R","NJ","5",1.07237532410442,47.9
"NJ-6","Pallone (D NJ-6)","D","NJ","6",-1.62552732735177,61.4
"NJ-7","Lance (R NJ-7)","R","NJ","7",0.584979227956439,46.3
"NJ-8","Sires (D NJ-8)","D","NJ","8",-1.16561231971823,78.3
"NJ-9","Pascrell Jr. (D NJ-9)","D","NJ","9",-1.15492107560743,68.3
"NM-1","Lujan Grisham (D NM-1)","D","NM","1",-0.787326373913454,55.3
"NM-2","Pearce (R NM-2)","R","NM","2",0.79744768735844,44.9
"NM-3","Lujan (D NM-3)","D","NM","3",-0.968985845399219,57.5
"NV-1","Titus (D NV-1)","D","NV","1",-0.93330375116686,65.6
"NV-2","Amodei (R NV-2)","R","NV","2",0.734522578850323,44.8
"NV-3","Heck (R NV-3)","R","NV","3",0.519895600748987,49.5
"NV-4","Horsford (D NV-4)","D","NV","4",-0.875132036299079,54.4
"NY-1","Bishop (D NY-1)","D","NY","1",-0.861170846773032,49.6
"NY-10","Nadler (D NY-10)","D","NY","10",-2.00454670903201,73.6
"NY-11","Grimm (R NY-11)","R","NY","11",0.412497587781174,51.6
"NY-12","Maloney (D NY-12)","D","NY","12",-1.06347706474314,76.9
"NY-13","Rangel (D NY-13)","D","NY","13",-1.12249946208046,94.6
"NY-14","Crowley (D NY-14)","D","NY","14",-1.32045564773054,80.7
"NY-15","Serrano (D NY-15)","D","NY","15",-1.67768466076381,96.7
"NY-16","Engel (D NY-16)","D","NY","16",-1.12907511262165,73.7
"NY-17","Lowey (D NY-17)","D","NY","17",-1.04247500921179,57.1
"NY-18","Maloney (D NY-18)","D","NY","18",-0.465586846816546,51.4
"NY-19","Gibson (R NY-19)","R","NY","19",0.188423006005813,52.1
"NY-2","King (R NY-2)","R","NY","2",0.408593972869179,51.6
"NY-20","Tonko (D NY-20)","D","NY","20",-1.26054159818964,59.2
"NY-21","Owens (D NY-21)","D","NY","21",-0.277474517497263,52.2
"NY-22","Hanna (R NY-22)","R","NY","22",0.391174686932775,48.8
"NY-23","Reed (R NY-23)","R","NY","23",0.518733827428637,48.4
"NY-24","Maffei (D NY-24)","D","NY","24",-0.396951541796144,57
"NY-25","Slaughter (D NY-25)","D","NY","25",-1.14988962519799,58.8
"NY-26","Higgins (D NY-26)","D","NY","26",-1.17741027647655,63.9
"NY-27","Collins (R NY-27)","R","NY","27",0.750597872129854,42.9
"NY-3","Israel (D NY-3)","D","NY","3",-0.949535966041005,50.8
"NY-4","McCarthy (D NY-4)","D","NY","4",-0.729566117908355,56.3
"NY-5","Meeks (D NY-5)","D","NY","5",-1.18536028761059,90.6
"NY-6","Meng (D NY-6)","D","NY","6",-1.0719499052947,67.8
"NY-7","Velázquez (D NY-7)","D","NY","7",-1.54288473181339,88.4
"NY-8","Jeffries (D NY-8)","D","NY","8",-1.38078690222091,89.2
"NY-9","Clarke (D NY-9)","D","NY","9",-1.60366258735877,85.2
"OH-1","Chabot (R OH-1)","R","OH","1",1.30497268084794,46.3
"OH-10","Turner (R OH-10)","R","OH","10",0.560077899906573,48.2
"OH-11","Fudge (D OH-11)","D","OH","11",-1.22254445605642,82.8
"OH-12","Tiberi (R OH-12)","R","OH","12",0.74108660235278,43.9
"OH-13","Ryan (D OH-13)","D","OH","13",-0.821061526786009,62.9
"OH-14","Joyce (R OH-14)","R","OH","14",0.526168756047554,47.6
"OH-15","Stivers (R OH-15)","R","OH","15",0.650326900002957,46.3
"OH-16","Renacci (R OH-16)","R","OH","16",0.708947262388622,45.2
"OH-2","Wenstrup (R OH-2)","R","OH","2",1.04989852195244,43.65
"OH-3","Beatty (D OH-3)","D","OH","3",-1.2420679171404,69.7
"OH-4","Jordan (R OH-4)","R","OH","4",1.25927383764569,42
"OH-5","Latta (R OH-5)","R","OH","5",1.07324026757184,44.1
"OH-6","Johnson (R OH-6)","R","OH","6",0.863435625654851,42.7
"OH-7","Gibbs (R OH-7)","R","OH","7",0.832060912090725,44.2
"OH-8","Boehner (R OH-8)","R","OH","8",0.658230749959475,36.4
"OH-9","Kaptur (D OH-9)","D","OH","9",-0.951875288955611,67.6
"OK-1","Bridenstine (R OK-1)","R","OK","1",1.11619454850835,34.2
"OK-2","Mullin (R OK-2)","R","OK","2",1.00559572497783,32.2
"OK-3","Lucas (R OK-3)","R","OK","3",0.690896485432103,26.1
"OK-4","Cole (R OK-4)","R","OK","4",0.630005827572037,32.9
"OK-5","Lankford (R OK-5)","R","OK","5",1.09245646574101,40.8
"OR-1","Bonamici (D OR-1)","D","OR","1",-1.24621436343889,57.3
"OR-2","Walden (R OR-2)","R","OR","2",0.673654556129641,40.5
"OR-3","Blumenauer (D OR-3)","D","OR","3",-1.23824915816856,72
"OR-4","DeFazio (D OR-4)","D","OR","4",-0.912060437404361,51.7
"OR-5","Schrader (D OR-5)","D","OR","5",-0.411073478294249,50.5
"PA-1","Brady (D PA-1)","D","PA","1",-1.1721751450102,82.3
"PA-10","Marino (R PA-10)","R","PA","10",0.712424491900521,38.4
"PA-11","Barletta (R PA-11)","R","PA","11",0.598661737655286,44.5
"PA-12","Rothfus (R PA-12)","R","PA","12",0.89305216257594,40.9
"PA-13","Schwartz (D PA-13)","D","PA","13",-1.03412967698586,66.2
"PA-14","Doyle (D PA-14)","D","PA","14",-1.13280359782632,68
"PA-15","Dent (R PA-15)","R","PA","15",0.490237602306802,47.9
"PA-16","Pitts (R PA-16)","R","PA","16",0.977544874854034,46.3
"PA-17","Cartwright (D PA-17)","D","PA","17",-1.17786464286286,55.4
"PA-18","Murphy (R PA-18)","R","PA","18",0.717749113232453,41
"PA-2","Fattah (D PA-2)","D","PA","2",-1.27500513220032,90.4
"PA-3","Kelly (R PA-3)","R","PA","3",0.742872737618243,43
"PA-4","Perry (R PA-4)","R","PA","4",1.06355681332131,41.5
"PA-5","Thompson (R PA-5)","R","PA","5",0.588935747737134,41.5
"PA-6","Gerlach (R PA-6)","R","PA","6",0.512867904903287,48.1
"PA-7","Meehan (R PA-7)","R","PA","7",0.501652744885181,48.5
"PA-8","Fitzpatrick (R PA-8)","R","PA","8",0.337614788908501,49.3
"PA-9","Shuster (R PA-9)","R","PA","9",0.748795888766342,35.9
"RI-1","Cicilline (D RI-1)","D","RI","1",-1.29975401296796,66.2
"RI-2","Langevin (D RI-2)","D","RI","2",-0.997860058502821,59.8
"SC-1","Sanford (R SC-1)","R","SC","1",0.720274233659637,40.2
"SC-2","Wilson (R SC-2)","R","SC","2",1.15659348969276,39.4
"SC-3","Duncan (R SC-3)","R","SC","3",1.52174314876137,33.9
"SC-4","Gowdy (R SC-4)","R","SC","4",1.28556843023033,36.2
"SC-5","Mulvaney (R SC-5)","R","SC","5",1.06019495359094,43.6
"SC-6","Clyburn (D SC-6)","D","SC","6",-0.965166016880008,70.9
"SC-7","Rice (R SC-7)","R","SC","7",1.00949155376978,44.4
"SD-1","Noem (R SD-1)","R","SD","1",0.788823397196241,39.9
"TN-1","Roe (R TN-1)","R","TN","1",0.923403610611536,25.7
"TN-2","Duncan Jr. (R TN-2)","R","TN","2",0.559464385142081,30.9
"TN-3","Fleischmann (R TN-3)","R","TN","3",0.927847304259354,35.1
"TN-4","DesJarlais (R TN-4)","R","TN","4",1.0927273749054,33.1
"TN-5","Cooper (D TN-5)","D","TN","5",-0.506939262440658,55.9
"TN-6","Black (R TN-6)","R","TN","6",1.12543396476624,29.5
"TN-7","Blackburn (R TN-7)","R","TN","7",1.24594752039831,32.9
"TN-8","Fincher (R TN-8)","R","TN","8",1.09200032324132,32.8
"TN-9","Cohen (D TN-9)","D","TN","9",-1.21316442462062,78.3
"TX-1","Gohmert (R TX-1)","R","TX","1",0.97066389785427,27.5
"TX-10","McCaul (R TX-10)","R","TX","10",0.993635950374411,38.8
"TX-11","Conaway (R TX-11)","R","TX","11",1.17446456075072,19.6
"TX-12","Granger (R TX-12)","R","TX","12",0.862878489444105,31.7
