"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"TN","6","R","F","B001273", ,18,1.12543396476624,0.985516408879332,1.27544206266711,"Black (R TN-6)",405,"Diane","Black"
"WI","8","R","M","R000587", ,18,1.13048022544857,0.99180346087968,1.27862144802735,"Ribble (R WI-8)",406,"Reid","Ribble"
"NC","9","R","M","P000606", ,49,1.13505660423705,0.996366810536024,1.27510716477737,"Pittenger (R NC-9)",407,"Robert","Pittenger"
"AR","4","R","M","C001095", ,14,1.1368577260967,0.993843378886479,1.27638287728134,"Cotton (R AR-4)",408,"Tom","Cotton"
"CO","5","R","M","L000564","20704",17,1.13956215636862,0.997689230501274,1.28180204012668,"Lamborn (R CO-5)",409,"Doug","Lamborn"
"MS","4","R","M","P000601", ,68,1.1451735121161,1.00202772540534,1.29322174403381,"Palazzo (R MS-4)",410,"Steven","Palazzo"
"CA","1","R","M","L000578", ,27,1.14683952902097,0.992072955987979,1.2774929722625,"LaMalfa (R CA-1)",411,"Doug","LaMalfa"
"NC","5","R","F","F000450","20521",6,1.14845472283098,0.999169901151136,1.29077146046512,"Foxx (R NC-5)",412,"Virginia","Foxx"
"SC","2","R","M","W000795","20138",36,1.15659348969276,1.01009440389776,1.32173319307655,"Wilson (R SC-2)",413,"Joe","Wilson"
"AL","1","R","M","B001289","",672,1.16298990803106,0.96789121066271,1.34892557029266,"Byrne (R AL-1)",414,"Bradley","Byrne"
"TX","22","R","M","O000168", ,29,1.16812158959192,1.0289044264136,1.32589644445287,"Olson (R TX-22)",415,"Pete","Olson"
"TX","11","R","M","C001062","20531",15,1.17446456075072,1.03977821808106,1.3308293872144,"Conaway (R TX-11)",416,"K.","Conaway"
"TX","17","R","M","F000461", ,28,1.18876056207859,1.04396863696686,1.35376887725544,"Flores (R TX-17)",417,"Bill","Flores"
"GA","6","R","M","P000591","20505",12,1.19275671311377,1.0371942845942,1.3473879684583,"Price (R GA-6)",418,"Tom","Price"
"FL","6","R","M","D000621", ,6,1.19755029904471,1.04820785678853,1.35366187184893,"DeSantis (R FL-6)",419,"Ron","DeSantis"
"GA","9","R","M","C001093", ,51,1.2064156488234,1.0502839254931,1.37124387097834,"Collins (R GA-9)",420,"Doug","Collins"
"LA","1","R","M","S001176", ,22,1.21281418889325,1.06573750016799,1.38229935031781,"Scalise (R LA-1)",421,"Steve","Scalise"
"MO","8","R","M","S001195","21373",206,1.22484914887777,1.05039170590518,1.40461939410155,"Smith (R MO-8)",422,"Jason","Smith"
"TX","25","R","M","W000816", ,47,1.23977745031347,1.07712477059269,1.40255592703594,"Williams (R TX-25)",423,"Roger","Williams"
"LA","4","R","M","F000456", ,5,1.24033963342296,1.09556561215946,1.42063162527213,"Fleming (R LA-4)",424,"John","Fleming"
"MI","2","R","M","H001058", ,11,1.24476792562927,1.09142554138498,1.41253627625114,"Huizenga (R MI-2)",425,"Bill","Huizenga"
"TN","7","R","F","B001243","20351",29,1.24594752039831,1.0766181069563,1.41839240565721,"Blackburn (R TN-7)",426,"Marsha","Blackburn"
"GA","1","R","M","K000220","29338",166,1.24833990517019,1.07540462478191,1.42104729913824,"Kingston (R GA-1)",427,"Jack","Kingston"
"OH","4","R","M","J000289","20738",18,1.25927383764569,1.08370949887986,1.41559160421167,"Jordan (R OH-4)",428,"Jim","Jordan"
"GA","14","R","M","G000560", ,19,1.27429945896716,1.12313707907742,1.45191540088708,"Graves (R GA-14)",429,"Tom","Graves"
"TX","24","R","M","M001158","20532",51,1.2759226519375,1.11949633602131,1.44946388008005,"Marchant (R TX-24)",430,"Kenny","Marchant"
"TX","5","R","M","H001036","20352",10,1.28482474546681,1.10247408701035,1.45632786628876,"Hensarling (R TX-5)",431,"Jeb","Hensarling"
"SC","4","R","M","G000566", ,20,1.28556843023033,1.13563767517629,1.46443791908376,"Gowdy (R SC-4)",432,"Trey","Gowdy"
"NC","13","R","M","H001065", ,19,1.30292604491065,1.13106526819509,1.47559388606287,"Holding (R NC-13)",433,"George","Holding"
"IN","3","R","M","S001188", ,36,1.30495154963606,1.1247671023621,1.47534538561478,"Stutzman (R IN-3)",434,"Marlin","Stutzman"
"OH","1","R","M","C000266","29550",4,1.30497268084794,1.1241989111741,1.47067493872348,"Chabot (R OH-1)",435,"Steven","Chabot"
"KS","4","R","M","P000602", ,70,1.33243509827024,1.15669285003524,1.53957798759929,"Pompeo (R KS-4)",436,"Mike","Pompeo"
"NC","8","R","M","H001067", ,24,1.34316574692202,1.16025025674501,1.51021131851046,"Hudson (R NC-8)",437,"Richard","Hudson"
"AZ","8","R","M","F000448","20304",53,1.37448162493125,1.19217025341229,1.56655583366028,"Franks (R AZ-8)",438,"Trent","Franks"
"TX","19","R","M","N000182","20353",12,1.40835503067818,1.2303264062761,1.61265470566689,"Neugebauer (R TX-19)",439,"Randy","Neugebauer"
"SC","3","R","M","D000615", ,4,1.52174314876137,1.32822162929786,1.71951286619568,"Duncan (R SC-3)",440,"Jeffrey","Duncan"
"TX","14","R","M","W000814", ,10,1.57104285759286,1.36781797860704,1.79367155784699,"Weber (R TX-14)",441,"Randy","Weber"
