"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"KY","1","R","M","W000413","29525",45,0.68181993412924,0.576017914668474,0.77111778923094,"Whitfield (R KY-1)",256,"Edward","Whitfield"
"AL","6","R","M","B000013","29301",25,0.68420742908747,0.588219075254698,0.780887358824336,"Bachus (R AL-6)",257,"Spencer","Bachus"
"NE","2","R","M","T000459","29921",10,0.685811508530408,0.592583906208982,0.78231855342002,"Terry (R NE-2)",258,"Lee","Terry"
"FL","13","R","M","Y000031","13047",725,0.688666261080415,0.55211202249977,0.836712886497481,"Young (R FL-13)",259,"C. W. Bill","Young"
"OK","3","R","M","L000491","29393",23,0.690896485432103,0.588223700413161,0.785956905975793,"Lucas (R OK-3)",260,"Frank","Lucas"
"MI","6","R","M","U000031","15446",23,0.693075330938894,0.601625823320005,0.796463527820564,"Upton (R MI-6)",261,"Fred","Upton"
"AL","2","R","F","R000591", ,13,0.696521829886592,0.597105999722882,0.797736675000795,"Roby (R AL-2)",262,"Martha","Roby"
"MS","3","R","M","H001045", ,25,0.701238752568499,0.599766242196543,0.796299756495338,"Harper (R MS-3)",263,"Gregg","Harper"
"GA","10","R","M","B001262","20753",37,0.705289539328368,0.613596252853459,0.801885347857272,"Broun (R GA-10)",264,"Paul","Broun"
"ND","1","R","M","C001096", ,63,0.705733579675545,0.606189047682984,0.804735338153981,"Cramer (R ND-1)",265,"Kevin","Cramer"
"FL","8","R","M","P000599", ,8,0.70778035470346,0.612633920929173,0.802565269924477,"Posey (R FL-8)",266,"Bill","Posey"
"CO","6","R","M","C001077", ,10,0.707844666051475,0.609489183405334,0.806613197662027,"Coffman (R CO-6)",267,"Mike","Coffman"
"OH","16","R","M","R000586", ,10,0.708947262388622,0.615337555187628,0.815477894414714,"Renacci (R OH-16)",268,"Jim","Renacci"
"AR","1","R","M","C001087", ,83,0.710320459860359,0.612412427936757,0.810498498245647,"Crawford (R AR-1)",269,"Rick","Crawford"
"PA","10","R","M","M001179", ,21,0.712424491900521,0.614291998239349,0.815044795374806,"Marino (R PA-10)",270,"Tom","Marino"
"PA","18","R","M","M001151","20346",16,0.717749113232453,0.619348388358497,0.81752327167506,"Murphy (R PA-18)",271,"Tim","Murphy"
